entry_idx,exit_idx,entry_time,exit_time,entry_price,lot1_exit_price,lot2_exit_price,lot1_size,lot2_size,lot1_pnl,lot2_pnl,total_pnl,win,lot1_exit_reason,lot2_exit_reason,minutes_held,sma_value,volume_ratio,inside_bar_range,prev_bar_range,positive_move_after_159min,negative_move_after_159min,risk_reward,bar_ratio
302,461,2026-02-26 07:01:00+05:30,2026-02-26 09:40:00+05:30,68285.0,68287.5,68528.5,0.35,0.35,0.875,85.225,86.1,True,take_profit_250pips,time_exit_159min,159,68304.8469387755,0,52.5,87.0,0.8244856117741818,-0.36977374240316324,1.0,0.6034413397547155
523,682,2026-02-26 10:42:00+05:30,2026-02-26 13:21:00+05:30,68268.0,68270.5,67815.0,0.35,0.35,0.875,-158.54999999999998,-157.67499999999998,False,take_profit_250pips,time_exit_159min,159,68256.77295918367,0,63.0,118.0,0.6269408800609363,-0.738999238296127,1.0,0.5338937805611816
1076,1235,2026-02-26 19:55:00+05:30,2026-02-26 22:34:00+05:30,68091.0,68093.5,66881.5,0.35,0.35,0.875,-423.325,-422.45,False,take_profit_250pips,time_exit_159min,159,68080.51785714286,0,45.5,72.5,-0.3208940976046761,-2.270490960626221,1.0,0.6275775506544737
1463,1622,2026-02-27 02:22:00+05:30,2026-02-27 05:01:00+05:30,67308.0,67310.5,67517.5,0.35,0.35,0.875,73.32499999999999,74.19999999999999,True,take_profit_250pips,time_exit_159min,159,67291.92346938775,0,53.0,69.0,0.4717121293159802,-0.6804540322101384,1.0,0.7681048100752162
1652,1811,2026-02-27 05:31:00+05:30,2026-02-27 08:10:00+05:30,67439.5,67442.0,67424.5,0.35,0.35,0.875,-5.25,-4.375,False,take_profit_250pips,time_exit_159min,159,67434.71683673469,0,34.5,44.0,1.11655632085054,-0.5656922130205592,1.0,0.7840730892479717
2042,2201,2026-02-27 12:01:00+05:30,2026-02-27 14:40:00+05:30,67608.5,67611.0,67932.5,0.35,0.35,0.875,113.39999999999999,114.27499999999999,True,take_profit_250pips,time_exit_159min,159,67654.51275510204,0,76.0,108.5,0.773571370463773,-2.4826759948823005,1.0,0.7004543736924084
2487,2646,2026-02-27 19:26:00+05:30,2026-02-27 22:05:00+05:30,66191.5,66194.0,65925.0,0.35,0.35,0.875,-93.27499999999999,-92.39999999999999,False,take_profit_250pips,time_exit_159min,159,66159.4413265306,0,64.5,75.5,-0.2606074798123626,-1.6558017268078227,1.0,0.8542933206182699
3032,3191,2026-02-28 04:31:00+05:30,2026-02-28 07:10:00+05:30,65544.0,65546.5,65795.0,0.35,0.35,0.875,87.85,88.725,True,take_profit_250pips,time_exit_159min,159,65526.0943877551,0,19.0,89.0,0.6987672403271086,0.17240327108507264,1.0,0.2134807474073325
3282,3441,2026-02-28 08:41:00+05:30,2026-02-28 11:20:00+05:30,65873.5,65876.0,65487.0,0.35,0.35,0.875,-135.27499999999998,-134.39999999999998,False,take_profit_250pips,time_exit_159min,159,65866.875,0,11.0,24.0,-0.4637676759243095,-4.377329275049906,1.0,0.4583142369067955
3662,3821,2026-02-28 15:01:00+05:30,2026-02-28 17:40:00+05:30,63784.5,63787.0,63889.0,0.35,0.35,0.875,36.574999999999996,37.449999999999996,True,take_profit_250pips,time_exit_159min,159,63753.38775510204,0,46.5,89.0,2.437112464626986,0.007055005526420997,1.0,0.522466039707419
4003,4162,2026-02-28 20:42:00+05:30,2026-02-28 23:21:00+05:30,64306.5,64309.0,65095.5,0.35,0.35,0.875,276.15,277.025,True,take_profit_250pips,time_exit_159min,159,64291.90306122449,0,61.5,151.0,4.2165255456291355,1.2051658852526572,1.0,0.40728207097966235
