================================================================================
BACKTESTING REPORT - SELF-HEALING TRADING SYSTEM
================================================================================

SUMMARY
--------------------------------------------------------------------------------
Strategy:           InsideBarSMA_2Lot_SMA196_Fixed
Initial Capital:    $100
Total P&L:          $-1058.57
Report Generated:   2026-05-02T07:02:07.965132

PERFORMANCE METRICS
--------------------------------------------------------------------------------
Total Trades:       104
Winning Trades:     53
Losing Trades:      51
Win Rate:           50.96%
Profit Factor:      0.84
Avg Win:            $140.85
Avg Loss:           $167.13
Avg Trade Size:     $153.74

SYSTEM HEALTH CHECK
--------------------------------------------------------------------------------
Health Status:      🔴 RED
Severity:           Critical
Win Rate Target:    Below target
Profit Factor:      Below target

TRADE ANALYSIS
--------------------------------------------------------------------------------
Entry Time           Entry      Exit       P&L        Reason         
--------------------------------------------------------------------------------
2026-02-26 07:01     $68285.00  $68287.50  $86.10     take_profit_250pips
2026-02-26 10:42     $68268.00  $68270.50  $-157.67   take_profit_250pips
2026-02-26 19:55     $68091.00  $68093.50  $-422.45   take_profit_250pips
2026-02-27 02:22     $67308.00  $67310.50  $74.20     take_profit_250pips
2026-02-27 05:31     $67439.50  $67442.00  $-4.38     take_profit_250pips
2026-02-27 12:01     $67608.50  $67611.00  $114.27    take_profit_250pips
2026-02-27 19:26     $66191.50  $66194.00  $-92.40    take_profit_250pips
2026-02-28 04:31     $65544.00  $65546.50  $88.72     take_profit_250pips
2026-02-28 08:41     $65873.50  $65876.00  $-134.40   take_profit_250pips
2026-02-28 15:01     $63784.50  $63787.00  $37.45     take_profit_250pips
2026-02-28 20:42     $64306.50  $64309.00  $277.02    take_profit_250pips
2026-03-01 05:37     $66870.50  $66873.00  $436.97    take_profit_250pips
2026-03-01 17:34     $66460.00  $66462.50  $112.35    take_profit_250pips
2026-03-02 03:36     $65670.50  $65673.00  $334.07    take_profit_250pips
2026-03-02 07:37     $66129.50  $66132.00  $194.95    take_profit_250pips
2026-03-02 11:30     $66673.00  $65897.00  $-543.20   time_exit_159min
2026-03-02 16:55     $66123.00  $66125.50  $-255.32   take_profit_250pips
2026-03-03 00:03     $69172.00  $69174.50  $-22.05    take_profit_250pips
2026-03-03 04:48     $69196.50  $69199.00  $-141.92   take_profit_250pips
2026-03-03 13:07     $68080.50  $68083.00  $-578.38   take_profit_250pips
2026-03-03 19:35     $67112.50  $67115.00  $210.17    take_profit_250pips
2026-03-04 01:38     $68366.50  $68369.00  $-25.20    take_profit_250pips
2026-03-05 01:44     $73399.50  $73402.00  $-255.68   take_profit_250pips
2026-03-05 06:12     $72909.00  $72911.50  $-121.45   take_profit_250pips
2026-03-05 09:36     $72548.00  $72550.50  $-50.05    take_profit_250pips
2026-03-05 12:19     $72536.00  $72538.50  $42.35     take_profit_250pips
2026-03-05 17:38     $72900.00  $72902.50  $-247.62   take_profit_250pips
2026-03-05 20:29     $72582.50  $72585.00  $-622.47   take_profit_250pips
2026-03-06 01:15     $71030.00  $71032.50  $83.30     take_profit_250pips
2026-03-06 08:47     $71026.50  $71029.00  $-225.58   take_profit_250pips
2026-03-06 12:14     $70633.50  $70636.00  $-46.55    take_profit_250pips
2026-03-06 17:07     $70566.50  $70569.00  $-637.88   take_profit_250pips
2026-03-07 00:11     $68389.50  $68392.00  $-102.38   take_profit_250pips
2026-03-07 05:11     $68181.00  $68183.50  $10.15     take_profit_250pips
2026-03-07 18:02     $67985.00  $67987.50  $-23.27    take_profit_250pips
2026-03-08 03:50     $67310.00  $67312.50  $-48.82    take_profit_250pips
2026-03-08 06:47     $67288.00  $67290.50  $-89.07    take_profit_250pips
2026-03-08 10:48     $67008.50  $67011.00  $85.92     take_profit_250pips
2026-03-08 20:35     $67231.00  $67233.50  $-70.17    take_profit_250pips
2026-03-09 01:55     $67029.50  $67032.00  $-234.50   take_profit_250pips
2026-03-09 13:13     $67416.50  $67419.00  $162.40    take_profit_250pips
2026-03-09 21:06     $68774.50  $68777.00  $-118.65   take_profit_250pips
2026-03-10 03:11     $68883.50  $68886.00  $-96.78    take_profit_250pips
2026-03-10 09:23     $69444.50  $69447.00  $212.80    take_profit_250pips
2026-03-10 12:30     $69892.00  $69894.50  $421.57    take_profit_250pips
